query_index,query,financebench_id,doc_name,ground_truth_chunk_id,embedding_latency_seconds
0,"For ESRS climate scenario disclosures, has ABN Amro confirmed that the assumptions underpinning its IFRS financial statements are consistent with the climate pathway used in its scenario assessment?",,ABN Amro,ABN_Amro_0005,0.020185011439025402
1,"Within ABN AMRO’s risk taxonomy, is sustainability risk explicitly designated as a material risk category?",,ABN Amro,ABN_Amro_0008,0.020918880589306355
2,"Within its disclosure on current and anticipated effects, does ABN AMRO explicitly report the outcome of a resilience assessment (via a bank-wide ICAAP stress test) demonstrating that projected climate and environmental risk impacts over the assessed five-year horizon remain within its loss-absorbing capacity and that its business model is resilient to the adverse scenario?",,ABN Amro,ABN_Amro_0012,0.022537557408213615
3,"Within its description of environmental impacts, does ABN AMRO specify that the principal adverse effects occur through client-related financing and investment activities rather than from its own direct operations?",,ABN Amro,ABN_Amro_0014,0.019216647371649742
4,"For ABN AMRO, does the stated scope of its social impact assessment explicitly cover impacts stemming from its own operations as well as those associated with its clients’ activities?",,ABN Amro,ABN_Amro_0015,0.019131642766296864
5,Does ABN Amro state that its updated Standard with Client Requirements uses terminology harmonised with the CSRD and the ESRS?,,ABN Amro,ABN_Amro_0021,0.01902439258992672
6,"For ABN Amro, does the disclosure confirm that results from the Client Assessment on Sustainability (CASY) and the Climate and Environmental Risk Classification Tool (RCT) are embedded in corporate credit risk evaluation, including second-line review and ultimate credit decision-making?",,ABN Amro,ABN_Amro_0024,0.020749395713210106
7,"For client-level risk mitigation, does ABN Amro disclose that its high-intensity engagement track is subject to quarterly review by the Engagement Committee, evidencing periodic internal oversight?",,ABN Amro,ABN_Amro_0025,0.019318423233926296
8,Has ABN Amro clearly specified that the Climate & Environmental Risks (CER) materiality assessment covers the entirety of its balance sheet?,,ABN Amro,ABN_Amro_0028,0.019022837281227112
9,"Within its 2024 risk appetite framework, has ABN Amro established explicit caps or trigger points to limit exposure to mortgage collateral situated in areas facing elevated physical climate risk?",,ABN Amro,ABN_Amro_0029,0.019184662029147148
10,"For ABN Amro’s ESRS materiality determination of climate and environmental drivers on market risk in the trading book, does the disclosure set out the assessment method used to gauge potential profit-and-loss effects and the specific rationale supporting its conclusion that this risk is not material?",,ABN Amro,ABN_Amro_0031,0.019479230977594852
11,"Within ABN Amro’s climate and environmental risk materiality review for liquidity risk, what specific short- and medium-term horizons are set for the quantitative assessment?",,ABN Amro,ABN_Amro_0033,0.019330274313688278
