answer_id,dataset,configuration_id,method,retrieval_model,variant,top_m,query_id,financebench_id,doc_name,retrieval_setting,top_k,ground_truth_chunk_id,retrieved_chunk_ids,correct_chunk_retrieved,judge_category
ESRS::bm25::ABN_Amro_0005::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0005,,ABN Amro,top_1,1,ABN_Amro_0005,ABN_Amro_0029,no,no_answer
ESRS::bm25::ABN_Amro_0008::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0008,,ABN Amro,top_1,1,ABN_Amro_0008,ABN_Amro_0034,no,no_answer
ESRS::bm25::ABN_Amro_0008::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0008,,ABN Amro,top_5,5,ABN_Amro_0008,ABN_Amro_0034|ABN_Amro_0012|ABN_Amro_0113|ABN_Amro_0008|ABN_Amro_0054,yes,correct
ESRS::bm25::ABN_Amro_0012::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0012,,ABN Amro,top_1,1,ABN_Amro_0012,ABN_Amro_0012,yes,correct
ESRS::bm25::ABN_Amro_0012::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0012,,ABN Amro,top_5,5,ABN_Amro_0012,ABN_Amro_0012|KBC_Group_0015|Societe_Generale_0008|Raiffeisen_Bank_International_0466|ABN_Amro_0035,yes,correct
ESRS::bm25::ABN_Amro_0014::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0014,,ABN Amro,top_5,5,ABN_Amro_0014,ABN_Amro_0010|ABN_Amro_0014|ABN_Amro_0012|ABN_Amro_0015|KfW_0025,yes,correct
ESRS::bm25::ABN_Amro_0015::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0015,,ABN Amro,top_1,1,ABN_Amro_0015,ABN_Amro_0012,no,no_answer
ESRS::bm25::ABN_Amro_0015::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0015,,ABN Amro,top_5,5,ABN_Amro_0015,ABN_Amro_0012|ABN_Amro_0080_intro|ABN_Amro_0015|ABN_Amro_0034|ABN_Amro_0024,yes,correct
ESRS::bm25::ABN_Amro_0021::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0021,,ABN Amro,top_1,1,ABN_Amro_0021,ABN_Amro_0062,no,no_answer
ESRS::bm25::ABN_Amro_0021::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0021,,ABN Amro,top_5,5,ABN_Amro_0021,ABN_Amro_0062|ABN_Amro_0021|ABN_Amro_0020|ABN_Amro_0011|ABN_Amro_0113,yes,correct
ESRS::bm25::ABN_Amro_0024::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0024,,ABN Amro,top_1,1,ABN_Amro_0024,ABN_Amro_0024,yes,correct
ESRS::bm25::ABN_Amro_0024::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0024,,ABN Amro,top_5,5,ABN_Amro_0024,ABN_Amro_0024|ABN_Amro_0046|ABN_Amro_0047|ING_0035|ABN_Amro_0018,yes,correct
ESRS::bm25::ABN_Amro_0025::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0025,,ABN Amro,top_1,1,ABN_Amro_0025,ABN_Amro_0019,no,no_answer
ESRS::bm25::ABN_Amro_0025::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0025,,ABN Amro,top_5,5,ABN_Amro_0025,ABN_Amro_0019|ABN_Amro_0025|ABN_Amro_0085|ABN_Amro_0057|ABN_Amro_0052,yes,correct
ESRS::bm25::ABN_Amro_0028::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0028,,ABN Amro,top_1,1,ABN_Amro_0028,ABN_Amro_0029,no,incorrect
ESRS::bm25::ABN_Amro_0028::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0028,,ABN Amro,top_5,5,ABN_Amro_0028,ABN_Amro_0029|ABN_Amro_0028|ABN_Amro_0034|ABN_Amro_0070|ABN_Amro_0010,yes,correct
ESRS::bm25::ABN_Amro_0029::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0029,,ABN Amro,top_1,1,ABN_Amro_0029,ABN_Amro_0029,yes,correct
ESRS::bm25::ABN_Amro_0029::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0029,,ABN Amro,top_5,5,ABN_Amro_0029,ABN_Amro_0029|ABN_Amro_0034|ABN_Amro_0010|Belfius_0049|ABN_Amro_0012,yes,correct
ESRS::bm25::ABN_Amro_0031::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0031,,ABN Amro,top_1,1,ABN_Amro_0031,Nordea_Bank_0057,no,no_answer
ESRS::bm25::ABN_Amro_0031::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0031,,ABN Amro,top_5,5,ABN_Amro_0031,Nordea_Bank_0057|ABN_Amro_0034|ABN_Amro_0052|Nordea_Bank_0032|KBC_Group_0017,no,no_answer
ESRS::bm25::ABN_Amro_0033::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0033,,ABN Amro,top_1,1,ABN_Amro_0033,ABN_Amro_0034,no,no_answer
ESRS::bm25::ABN_Amro_0033::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0033,,ABN Amro,top_5,5,ABN_Amro_0033,ABN_Amro_0034|ABN_Amro_0054|ABN_Amro_0004|ING_0069|Intesa_Sanpaolo_0034,no,no_answer
ESRS::bm25::ABN_Amro_0034::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0034,,ABN Amro,top_1,1,ABN_Amro_0034,ABN_Amro_0034,yes,correct
ESRS::bm25::ABN_Amro_0034::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0034,,ABN Amro,top_5,5,ABN_Amro_0034,ABN_Amro_0034|KBC_Group_0015|ABN_Amro_0029|Swedbank_0015|ABN_Amro_0012,yes,correct
ESRS::bm25::ABN_Amro_0036::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0036,,ABN Amro,top_1,1,ABN_Amro_0036,ABN_Amro_0036,yes,correct
ESRS::bm25::ABN_Amro_0036::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0036,,ABN Amro,top_5,5,ABN_Amro_0036,ABN_Amro_0036|ABN_Amro_0076|ABN_Amro_0070|ABN_Amro_0113|ABN_Amro_0085,yes,correct
ESRS::bm25::ABN_Amro_0039::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0039,,ABN Amro,top_1,1,ABN_Amro_0039,ABN_Amro_0039,yes,correct
ESRS::bm25::ABN_Amro_0039::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0039,,ABN Amro,top_5,5,ABN_Amro_0039,ABN_Amro_0039|ABN_Amro_0034|ABN_Amro_0076|Santander_0011|ABN_Amro_0004,yes,correct
ESRS::bm25::ABN_Amro_0041::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0041,,ABN Amro,top_1,1,ABN_Amro_0041,ABN_Amro_0041,yes,correct
ESRS::bm25::ABN_Amro_0041::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0041,,ABN Amro,top_5,5,ABN_Amro_0041,ABN_Amro_0041|Raiffeisen_Bank_International_0466|ABN_Amro_0066|ABN_Amro_0057|ABN_Amro_0034,yes,correct
ESRS::bm25::ABN_Amro_0043::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0043,,ABN Amro,top_1,1,ABN_Amro_0043,ABN_Amro_0043,yes,correct
ESRS::bm25::ABN_Amro_0043::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0043,,ABN Amro,top_5,5,ABN_Amro_0043,ABN_Amro_0043|ABN_Amro_0076|ABN_Amro_0113|ABN_Amro_0012|ABN_Amro_0034,yes,correct
ESRS::bm25::ABN_Amro_0045::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0045,,ABN Amro,top_5,5,ABN_Amro_0045,ABN_Amro_0024|ABN_Amro_0018|ABN_Amro_0092|ABN_Amro_0113|ABN_Amro_0057,no,correct
ESRS::bm25::ABN_Amro_0046::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0046,,ABN Amro,top_1,1,ABN_Amro_0046,ABN_Amro_0054,no,no_answer
ESRS::bm25::ABN_Amro_0054::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0054,,ABN Amro,top_1,1,ABN_Amro_0054,ABN_Amro_0054,yes,correct
ESRS::bm25::ABN_Amro_0054::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0054,,ABN Amro,top_5,5,ABN_Amro_0054,ABN_Amro_0054|ABN_Amro_0076|ABN_Amro_0034|Intesa_Sanpaolo_0042|ABN_Amro_0022,yes,correct
ESRS::bm25::ABN_Amro_0057::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0057,,ABN Amro,top_1,1,ABN_Amro_0057,ABN_Amro_0057,yes,correct
ESRS::bm25::ABN_Amro_0057::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0057,,ABN Amro,top_5,5,ABN_Amro_0057,ABN_Amro_0057|ABN_Amro_0113|ABN_Amro_0015|ABN_Amro_0008|ABN_Amro_0010,yes,correct
ESRS::bm25::ABN_Amro_0060::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0060,,ABN Amro,top_1,1,ABN_Amro_0060,ABN_Amro_0081,no,no_answer
ESRS::bm25::ABN_Amro_0060::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0060,,ABN Amro,top_5,5,ABN_Amro_0060,ABN_Amro_0081|ABN_Amro_0113|ABN_Amro_0076|ABN_Amro_0060|ABN_Amro_0022,yes,correct
ESRS::bm25::ABN_Amro_0061::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0061,,ABN Amro,top_1,1,ABN_Amro_0061,ABN_Amro_0074,no,no_answer
ESRS::bm25::ABN_Amro_0061::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0061,,ABN Amro,top_5,5,ABN_Amro_0061,ABN_Amro_0074|ABN_Amro_0051|Banque_Postale_0075|Swedbank_0031|UniCredit_0019,no,no_answer
ESRS::bm25::ABN_Amro_0062::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0062,,ABN Amro,top_1,1,ABN_Amro_0062,ABN_Amro_0062,yes,correct
ESRS::bm25::ABN_Amro_0062::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0062,,ABN Amro,top_5,5,ABN_Amro_0062,ABN_Amro_0062|Intesa_Sanpaolo_0060|Societe_Generale_0010|ING_0042|Banca_Monte_dei_Paschi_di_Siena_0048,yes,correct
ESRS::bm25::ABN_Amro_0066::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0066,,ABN Amro,top_1,1,ABN_Amro_0066,ABN_Amro_0066,yes,correct
ESRS::bm25::ABN_Amro_0073::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0073,,ABN Amro,top_5,5,ABN_Amro_0073,ABN_Amro_0073|ABN_Amro_0016|ABN_Amro_0066|Intesa_Sanpaolo_0003|Intesa_Sanpaolo_0073_intro,yes,correct
ESRS::bm25::ABN_Amro_0081::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0081,,ABN Amro,top_5,5,ABN_Amro_0081,ABN_Amro_0082|ABN_Amro_0081|ABN_Amro_0084|ABN_Amro_0085|ABN_Amro_0113,yes,correct
ESRS::bm25::ABN_Amro_0084::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0084,,ABN Amro,top_1,1,ABN_Amro_0084,ABN_Amro_0113,no,no_answer
ESRS::bm25::ABN_Amro_0084::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0084,,ABN Amro,top_5,5,ABN_Amro_0084,ABN_Amro_0113|ABN_Amro_0084|ABN_Amro_0091_intro|ABN_Amro_0034|ABN_Amro_0096,yes,correct
ESRS::bm25::ABN_Amro_0086::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0086,,ABN Amro,top_5,5,ABN_Amro_0086,ABN_Amro_0086|PKO_Bank_Polski_0103|UniCredit_0029|Pekao_0081|BBVA_0004,yes,correct
ESRS::bm25::ABN_Amro_0093::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0093,,ABN Amro,top_1,1,ABN_Amro_0093,ABN_Amro_0093,yes,correct
ESRS::bm25::ABN_Amro_0093::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0093,,ABN Amro,top_5,5,ABN_Amro_0093,ABN_Amro_0093|ABN_Amro_0091_intro|ABN_Amro_0084|ABN_Amro_0113|ABN_Amro_0098,yes,correct
ESRS::bm25::ABN_Amro_0094::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0094,,ABN Amro,top_1,1,ABN_Amro_0094,ABN_Amro_0094,yes,correct
ESRS::bm25::ABN_Amro_0094::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0094,,ABN Amro,top_5,5,ABN_Amro_0094,ABN_Amro_0094|ABN_Amro_0010|Banque_Postale_0178|ABN_Amro_0108|ABN_Amro_0098,yes,correct
ESRS::bm25::ABN_Amro_0095::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0095,,ABN Amro,top_1,1,ABN_Amro_0095,ABN_Amro_0095,yes,correct
ESRS::bm25::ABN_Amro_0095::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0095,,ABN Amro,top_5,5,ABN_Amro_0095,ABN_Amro_0095|ABN_Amro_0066|ABN_Amro_0093|ABN_Amro_0113|ABN_Amro_0010,yes,correct
ESRS::bm25::ABN_Amro_0096::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0096,,ABN Amro,top_1,1,ABN_Amro_0096,ABN_Amro_0096,yes,correct
ESRS::bm25::ABN_Amro_0096::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0096,,ABN Amro,top_5,5,ABN_Amro_0096,ABN_Amro_0096|ABN_Amro_0108|ABN_Amro_0094|KfW_0062|ABN_Amro_0105,yes,correct
ESRS::bm25::ABN_Amro_0099::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0099,,ABN Amro,top_1,1,ABN_Amro_0099,ABN_Amro_0099,yes,correct
ESRS::bm25::ABN_Amro_0099::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0099,,ABN Amro,top_5,5,ABN_Amro_0099,ABN_Amro_0099|Banca_Monte_dei_Paschi_di_Siena_0147|DNB_0158|ABN_Amro_0105|DNB_0156,yes,incorrect
ESRS::bm25::ABN_Amro_0101::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0101,,ABN Amro,top_1,1,ABN_Amro_0101,ABN_Amro_0113,no,no_answer
ESRS::bm25::ABN_Amro_0104::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0104,,ABN Amro,top_1,1,ABN_Amro_0104,ABN_Amro_0104,yes,correct
ESRS::bm25::ABN_Amro_0104::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0104,,ABN Amro,top_5,5,ABN_Amro_0104,ABN_Amro_0104|ABN_Amro_0108|ABN_Amro_0080_intro|Deutsche_Bank_0015|CaixaBank_0115,yes,correct
ESRS::bm25::ABN_Amro_0106::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0106,,ABN Amro,top_1,1,ABN_Amro_0106,ABN_Amro_0108,no,partially_correct
ESRS::bm25::ABN_Amro_0107::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0107,,ABN Amro,top_1,1,ABN_Amro_0107,ABN_Amro_0108,no,no_answer
ESRS::bm25::ABN_Amro_0107::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0107,,ABN Amro,top_5,5,ABN_Amro_0107,ABN_Amro_0108|ABN_Amro_0107|ABN_Amro_0015|ABN_Amro_0010|ING_0095,yes,correct
ESRS::bm25::ABN_Amro_0113::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0113,,ABN Amro,top_1,1,ABN_Amro_0113,ABN_Amro_0113,yes,correct
ESRS::bm25::ABN_Amro_0113::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0113,,ABN Amro,top_5,5,ABN_Amro_0113,ABN_Amro_0113|ABN_Amro_0057|ABN_Amro_0108|ABN_Amro_0114|ABN_Amro_0043,yes,correct
ESRS::bm25::ABN_Amro_0119::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0119,,ABN Amro,top_1,1,ABN_Amro_0119,Intesa_Sanpaolo_0073_intro,no,no_answer
ESRS::bm25::ABN_Amro_0119::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0119,,ABN Amro,top_5,5,ABN_Amro_0119,Intesa_Sanpaolo_0073_intro|OTP_Bank_0019|Intesa_Sanpaolo_0065|ING_0042|OTP_Bank_0143,no,no_answer
ESRS::bm25::ABN_Amro_0124::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0124,,ABN Amro,top_1,1,ABN_Amro_0124,ABN_Amro_0124,yes,correct
ESRS::bm25::ABN_Amro_0124::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0124,,ABN Amro,top_5,5,ABN_Amro_0124,ABN_Amro_0124|ABN_Amro_0139|ABN_Amro_0066|ABN_Amro_0122|ABN_Amro_0010,yes,correct
ESRS::bm25::ABN_Amro_0131::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0131,,ABN Amro,top_1,1,ABN_Amro_0131,Santander_0038,no,no_answer
ESRS::bm25::ABN_Amro_0131::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0131,,ABN Amro,top_5,5,ABN_Amro_0131,Santander_0038|UniCredit_0091|Santander_0012|Intesa_Sanpaolo_0073_intro|DNB_0100,no,no_answer
ESRS::bm25::ABN_Amro_0133::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0133,,ABN Amro,top_1,1,ABN_Amro_0133,ABN_Amro_0133,yes,correct
ESRS::bm25::ABN_Amro_0133::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0133,,ABN Amro,top_5,5,ABN_Amro_0133,ABN_Amro_0133|ABN_Amro_0122|UniCredit_0022|ABN_Amro_0139|Intesa_Sanpaolo_0060,yes,correct
ESRS::bm25::ABN_Amro_0134::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0134,,ABN Amro,top_1,1,ABN_Amro_0134,ABN_Amro_0139,no,correct
ESRS::bm25::ABN_Amro_0134::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0134,,ABN Amro,top_5,5,ABN_Amro_0134,ABN_Amro_0139|ABN_Amro_0124|ABN_Amro_0134|ABN_Amro_0066|Raiffeisen_Bank_International_0500_intro,yes,correct
ESRS::bm25::ABN_Amro_0138::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0138,,ABN Amro,top_1,1,ABN_Amro_0138,ABN_Amro_0034,no,no_answer
ESRS::bm25::ABN_Amro_0138::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0138,,ABN Amro,top_5,5,ABN_Amro_0138,ABN_Amro_0034|ABN_Amro_0057|ABN_Amro_0076|ABN_Amro_0113|ABN_Amro_0138,yes,correct
ESRS::bm25::ABN_Amro_0142::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0142,,ABN Amro,top_1,1,ABN_Amro_0142,ABN_Amro_0142,yes,correct
ESRS::bm25::ABN_Amro_0142::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0142,,ABN Amro,top_5,5,ABN_Amro_0142,ABN_Amro_0142|ABN_Amro_0034|ABN_Amro_0113|ABN_Amro_0076|ABN_Amro_0108,yes,correct
ESRS::bm25::ABN_Amro_0143::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0143,,ABN Amro,top_1,1,ABN_Amro_0143,ABN_Amro_0143,yes,correct
ESRS::bm25::ABN_Amro_0143::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0143,,ABN Amro,top_5,5,ABN_Amro_0143,ABN_Amro_0143|Belfius_0111|Santander_0051|OTP_Bank_0056|PKO_Bank_Polski_0026,yes,correct
ESRS::bm25::ABN_Amro_0144::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0144,,ABN Amro,top_1,1,ABN_Amro_0144,ABN_Amro_0145,no,correct
ESRS::bm25::ABN_Amro_0144::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0144,,ABN Amro,top_5,5,ABN_Amro_0144,ABN_Amro_0145|ABN_Amro_0144|Banque_Postale_0129|Societe_Generale_0006|CaixaBank_0107,yes,correct
ESRS::bm25::ABN_Amro_0145::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0145,,ABN Amro,top_1,1,ABN_Amro_0145,ABN_Amro_0143,no,correct
ESRS::bm25::ABN_Amro_0145::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0145,,ABN Amro,top_5,5,ABN_Amro_0145,ABN_Amro_0143|ABN_Amro_0145|Banque_Postale_0130_intro|ABN_Amro_0146|ABN_Amro_0144,yes,correct
ESRS::bm25::ABN_Amro_0146::top_1,ESRS,bm25,bm25,,standard,,ABN_Amro_0146,,ABN Amro,top_1,1,ABN_Amro_0146,ABN_Amro_0029,no,no_answer
ESRS::bm25::ABN_Amro_0146::top_5,ESRS,bm25,bm25,,standard,,ABN_Amro_0146,,ABN Amro,top_5,5,ABN_Amro_0146,ABN_Amro_0029|ABN_Amro_0146|ABN_Amro_0070|ABN_Amro_0010|Belfius_0023,yes,correct
ESRS::bm25::BBVA_0007::top_5,ESRS,bm25,bm25,,standard,,BBVA_0007,,BBVA,top_5,5,BBVA_0007,BBVA_0007|BBVA_0004|Nordea_Bank_0004|BBVA_0012|BBVA_0010,yes,correct
ESRS::bm25::BBVA_0010::top_1,ESRS,bm25,bm25,,standard,,BBVA_0010,,BBVA,top_1,1,BBVA_0010,BBVA_0010,yes,correct
ESRS::bm25::BBVA_0010::top_5,ESRS,bm25,bm25,,standard,,BBVA_0010,,BBVA,top_5,5,BBVA_0010,BBVA_0010|ING_0081|Swedbank_0119|OTP_Bank_0148|PKO_Bank_Polski_0111,yes,correct
ESRS::bm25::BNP_Paribas_0000::top_1,ESRS,bm25,bm25,,standard,,BNP_Paribas_0000,,BNP Paribas,top_1,1,BNP_Paribas_0000,BNP_Paribas_0000,yes,correct
ESRS::bm25::BNP_Paribas_0004::top_5,ESRS,bm25,bm25,,standard,,BNP_Paribas_0004,,BNP Paribas,top_5,5,BNP_Paribas_0004,BNP_Paribas_0000|BNP_Paribas_0004|BNP_Paribas_0023|BNP_Paribas_0008|BNP_Paribas_0009,yes,correct
ESRS::bm25::BNP_Paribas_0013::top_1,ESRS,bm25,bm25,,standard,,BNP_Paribas_0013,,BNP Paribas,top_1,1,BNP_Paribas_0013,BNP_Paribas_0013,yes,correct
ESRS::bm25::BNP_Paribas_0014::top_5,ESRS,bm25,bm25,,standard,,BNP_Paribas_0014,,BNP Paribas,top_5,5,BNP_Paribas_0014,Raiffeisen_Bank_International_0114|BNP_Paribas_0014|Deutsche_Bank_0011|OTP_Bank_0056|OTP_Bank_0077,yes,correct
ESRS::bm25::BNP_Paribas_0022::top_1,ESRS,bm25,bm25,,standard,,BNP_Paribas_0022,,BNP Paribas,top_1,1,BNP_Paribas_0022,BNP_Paribas_0005,no,no_answer
ESRS::bm25::BNP_Paribas_0022::top_5,ESRS,bm25,bm25,,standard,,BNP_Paribas_0022,,BNP Paribas,top_5,5,BNP_Paribas_0022,BNP_Paribas_0005|BNP_Paribas_0027|BNP_Paribas_0023|BNP_Paribas_0022|BNP_Paribas_0018,yes,correct
ESRS::bm25::BNP_Paribas_0026::top_1,ESRS,bm25,bm25,,standard,,BNP_Paribas_0026,,BNP Paribas,top_1,1,BNP_Paribas_0026,BNP_Paribas_0003,no,correct
ESRS::bm25::BNP_Paribas_0026::top_5,ESRS,bm25,bm25,,standard,,BNP_Paribas_0026,,BNP Paribas,top_5,5,BNP_Paribas_0026,BNP_Paribas_0003|BNP_Paribas_0026|BNP_Paribas_0004|BNP_Paribas_0019|BNP_Paribas_0027,yes,correct
ESRS::bm25::BNP_Paribas_0028::top_1,ESRS,bm25,bm25,,standard,,BNP_Paribas_0028,,BNP Paribas,top_1,1,BNP_Paribas_0028,BNP_Paribas_0028,yes,correct
ESRS::bm25::BNP_Paribas_0028::top_5,ESRS,bm25,bm25,,standard,,BNP_Paribas_0028,,BNP Paribas,top_5,5,BNP_Paribas_0028,BNP_Paribas_0028|BNP_Paribas_0027|BNP_Paribas_0031|BNP_Paribas_0019|BNP_Paribas_0023,yes,correct
ESRS::bm25::BNP_Paribas_0031::top_1,ESRS,bm25,bm25,,standard,,BNP_Paribas_0031,,BNP Paribas,top_1,1,BNP_Paribas_0031,BNP_Paribas_0031,yes,correct
