dataset,query_id,financebench_id,company,doc_name,bank_name,query,ground_truth_chunk_id,top1_chunk_id,top5_chunk_ids,correct_at_1,ground_truth_rank_top5,diagnostic_category,latency_seconds,top1_latency_seconds,top5_latency_seconds,top1_input_tokens,top1_output_tokens,top5_input_tokens,top5_output_tokens
FinanceBench,financebench_id_04672,financebench_id_04672,3M,3M_2018_10K,,Assume that you are a public equities analyst. Answer the following question by primarily using information that is shown in the balance sheet: what is the year end FY2018 net PPNE for 3M? Answer in USD billions.,3M_2018_10K_0029,3M_2018_10K_0030,3M_2018_10K_0030|3M_2018_10K_0029|3M_2018_10K_0040|3M_2018_10K_0052|3M_2018_10K_0039,0,2.0,mrr_lower_only,91.469,18.975,91.469,63244,1293,254934,5880
FinanceBench,financebench_id_01226,financebench_id_01226,3M,3M_2022_10K,,"What drove operating margin change as of FY2022 for 3M? If operating margin is not a useful metric for a company like this, then please state that and explain why.",3M_2022_10K_0012,3M_2022_10K_0012,3M_2022_10K_0011|3M_2022_10K_0012|3M_2022_10K_0013|3M_2022_10K_0010|3M_2022_10K_0009,1,2.0,accuracy_only_mrr_lower,71.119,25.027,71.119,56762,1828,237397,5077
FinanceBench,financebench_id_01865,financebench_id_01865,3M,3M_2022_10K,,"If we exclude the impact of M&A, which segment has dragged down 3M's overall growth in 2022?",3M_2022_10K_0011,3M_2022_10K_0013,3M_2022_10K_0013|3M_2022_10K_0014|3M_2022_10K_0010|3M_2022_10K_0049|3M_2022_10K_0012,0,,both_fail,190.689,23.13,190.689,59280,1217,367222,11473
FinanceBench,financebench_id_00807,financebench_id_00807,3M,3M_2023Q2_10Q,,"Does 3M have a reasonably healthy liquidity profile based on its quick ratio for Q2 of FY2023? If the quick ratio is not relevant to measure liquidity, please state that and explain why.",3M_2023Q2_10Q_0006,3M_2023Q2_10Q_0006,3M_2023Q2_10Q_0006|3M_2023Q2_10Q_0028|3M_2023Q2_10Q_0026|3M_2023Q2_10Q_0024|3M_2023Q2_10Q_0005,1,1.0,both_rank1,113.921,20.559,113.921,40395,1558,175167,9122
FinanceBench,financebench_id_00941,financebench_id_00941,3M,3M_2023Q2_10Q,,Which debt securities are registered to trade on a national securities exchange under 3M's name as of Q2 of 2023?,3M_2023Q2_10Q_0000,3M_2023Q2_10Q_0000,3M_2023Q2_10Q_0000|3M_2023Q2_10Q_0001|3M_2022_10K_0000,1,1.0,both_rank1,82.066,17.58,82.066,39624,1317,204943,6145
FinanceBench,financebench_id_01858,financebench_id_01858,3M,3M_2023Q2_10Q,,Does 3M maintain a stable trend of dividend distribution?,3M_2023Q2_10Q_0025,3M_2022_10K_0017,3M_2022_10K_0017|3M_2022_10K_0038|3M_2022_10K_0011|3M_2022_10K_0037|3M_2022_10K_0009,0,,both_fail,74.837,19.812,74.837,60394,1541,241601,6511
FinanceBench,financebench_id_07507,financebench_id_07507,Adobe,ADOBE_2016_10K,,What is Adobe's year-over-year change in unadjusted operating income from FY2015 to FY2016 (in units of percents and round to one decimal place)? Give a solution to the question by using the income statement.,ADOBE_2016_10K_0014_intro,ADOBE_2016_10K_0016,ADOBE_2016_10K_0016|ADOBE_2016_10K_0014_intro|ADOBE_2016_10K_0015|ADOBE_2016_10K_0012,0,2.0,mrr_lower_only,133.117,22.06,133.117,33802,1394,118815,10760
FinanceBench,financebench_id_00438,financebench_id_00438,Adobe,ADOBE_2022_10K,,"Does Adobe have an improving operating margin profile as of FY2022? If operating margin is not a useful metric for a company like this, then state that and explain why.",ADOBE_2022_10K_0013,ADOBE_2022_10K_0011,ADOBE_2022_10K_0013|ADOBE_2022_10K_0011,0,1.0,mrr_rank1_only,101.307,22.165,101.307,39885,1350,144858,6105
FinanceBench,financebench_id_00591,financebench_id_00591,Adobe,ADOBE_2022_10K,,Does Adobe have an improving Free cashflow conversion as of FY2022?,ADOBE_2022_10K_0013,ADOBE_2022_10K_0013,ADOBE_2022_10K_0013|ADOBE_2022_10K_0011,1,1.0,both_rank1,95.025,52.661,95.025,84152,2939,151757,5307
FinanceBench,financebench_id_01319,financebench_id_01319,AES Corporation,AES_2022_10K,,What is the quantity of restructuring costs directly outlined in AES Corporation's income statements for FY2022? If restructuring costs are not explicitly outlined then state 0.,AES_2022_10K_0171,AES_2022_10K_0171,AES_2022_10K_0171|AES_2022_10K_0170|AES_2022_10K_0169,1,1.0,both_rank1,150.391,17.71,150.391,65926,1017,335789,9982
