query_index,query,financebench_id,doc_name,ground_truth_chunk_id,embedding_latency_seconds
0,What is the FY2018 capital expenditure amount (in USD millions) for 3M? Give a response to the question by relying on the details shown in the cash flow statement.,financebench_id_03029,3M_2018_10K,3M_2018_10K_0031,0.0213722363114357
1,Assume that you are a public equities analyst. Answer the following question by primarily using information that is shown in the balance sheet: what is the year end FY2018 net PPNE for 3M? Answer in USD billions.,financebench_id_04672,3M_2018_10K,3M_2018_10K_0029,0.020399470813572407
2,"What drove operating margin change as of FY2022 for 3M? If operating margin is not a useful metric for a company like this, then please state that and explain why.",financebench_id_01226,3M_2022_10K,3M_2022_10K_0012,0.020312746055424213
3,"If we exclude the impact of M&A, which segment has dragged down 3M's overall growth in 2022?",financebench_id_01865,3M_2022_10K,3M_2022_10K_0011,0.021545046009123325
4,"Does 3M have a reasonably healthy liquidity profile based on its quick ratio for Q2 of FY2023? If the quick ratio is not relevant to measure liquidity, please state that and explain why.",financebench_id_00807,3M_2023Q2_10Q,3M_2023Q2_10Q_0006,0.02066765446215868
5,Which debt securities are registered to trade on a national securities exchange under 3M's name as of Q2 of 2023?,financebench_id_00941,3M_2023Q2_10Q,3M_2023Q2_10Q_0000,0.018982717767357826
6,Does 3M maintain a stable trend of dividend distribution?,financebench_id_01858,3M_2023Q2_10Q,3M_2023Q2_10Q_0025,0.0869095316156745
7,What is Adobe's year-over-year change in unadjusted operating income from FY2015 to FY2016 (in units of percents and round to one decimal place)? Give a solution to the question by using the income statement.,financebench_id_07507,ADOBE_2016_10K,ADOBE_2016_10K_0014_intro,0.019677904434502125
8,"Does Adobe have an improving operating margin profile as of FY2022? If operating margin is not a useful metric for a company like this, then state that and explain why.",financebench_id_00438,ADOBE_2022_10K,ADOBE_2022_10K_0013,0.019345562905073166
9,Does Adobe have an improving Free cashflow conversion as of FY2022?,financebench_id_00591,ADOBE_2022_10K,ADOBE_2022_10K_0013,0.019107123836874962
10,What is the quantity of restructuring costs directly outlined in AES Corporation's income statements for FY2022? If restructuring costs are not explicitly outlined then state 0.,financebench_id_01319,AES_2022_10K,AES_2022_10K_0171,0.019499442540109158
