dataset,query_id,financebench_id,company,doc_name,bank_name,query,ground_truth_chunk_id,top1_chunk_id,top5_chunk_ids,correct_at_1,ground_truth_rank_top5,diagnostic_category,latency_seconds,top1_latency_seconds,top5_latency_seconds,top1_input_tokens,top1_output_tokens,top5_input_tokens,top5_output_tokens
ESRS,"ABN Amro__ABN_Amro_0005__For ESRS climate scenario disclosures, has ABN Amro confirmed that the assumptions underpinning its IFRS financial statements are consistent with the climate pathway used in its scenario assessment?",,ABN Amro,ABN Amro,ABN Amro,"For ESRS climate scenario disclosures, has ABN Amro confirmed that the assumptions underpinning its IFRS financial statements are consistent with the climate pathway used in its scenario assessment?",ABN_Amro_0005,ABN_Amro_0005,ABN_Amro_0005|ABN_Amro_0002|ABN_Amro_0003|ABN_Amro_0006|ABN_Amro_0004,1,1.0,both_rank1,68.029,26.055,68.029,16336,1539,30037,4551
ESRS,"ABN Amro__ABN_Amro_0008__Within ABN AMRO’s risk taxonomy, is sustainability risk explicitly designated as a material risk category?",,ABN Amro,ABN Amro,ABN Amro,"Within ABN AMRO’s risk taxonomy, is sustainability risk explicitly designated as a material risk category?",ABN_Amro_0008,ABN_Amro_0008,ABN_Amro_0008|ABN_Amro_0007|ABN_Amro_0006|ABN_Amro_0020|ABN_Amro_0026,1,1.0,both_rank1,108.098,31.879,108.098,16690,1510,68790,6655
ESRS,"ABN Amro__ABN_Amro_0012__Within its disclosure on current and anticipated effects, does ABN AMRO explicitly report the outcome of a resilience assessment (via a bank-wide ICAAP stress test) demonstrating that projected climate and environmental risk impacts over the assessed five-year horizon remain within its loss-absorbing capacity and that its business model is resilient to the adverse scenario?",,ABN Amro,ABN Amro,ABN Amro,"Within its disclosure on current and anticipated effects, does ABN AMRO explicitly report the outcome of a resilience assessment (via a bank-wide ICAAP stress test) demonstrating that projected climate and environmental risk impacts over the assessed five-year horizon remain within its loss-absorbing capacity and that its business model is resilient to the adverse scenario?",ABN_Amro_0012,ABN_Amro_0037,ABN_Amro_0037|ABN_Amro_0041|ABN_Amro_0038|ABN_Amro_0039|ABN_Amro_0040,0,,both_fail,102.412,53.892,102.412,41565,3327,102964,7236
ESRS,"ABN Amro__ABN_Amro_0014__Within its description of environmental impacts, does ABN AMRO specify that the principal adverse effects occur through client-related financing and investment activities rather than from its own direct operations?",,ABN Amro,ABN Amro,ABN Amro,"Within its description of environmental impacts, does ABN AMRO specify that the principal adverse effects occur through client-related financing and investment activities rather than from its own direct operations?",ABN_Amro_0014,ABN_Amro_0016,ABN_Amro_0014|ABN_Amro_0012|ABN_Amro_0010|ABN_Amro_0016|ABN_Amro_0015,0,1.0,mrr_rank1_only,76.846,32.215,76.846,15689,2010,28673,5350
ESRS,"ABN Amro__ABN_Amro_0015__For ABN AMRO, does the stated scope of its social impact assessment explicitly cover impacts stemming from its own operations as well as those associated with its clients’ activities?",,ABN Amro,ABN Amro,ABN Amro,"For ABN AMRO, does the stated scope of its social impact assessment explicitly cover impacts stemming from its own operations as well as those associated with its clients’ activities?",ABN_Amro_0015,ABN_Amro_0088_intro,ABN_Amro_0077_intro|ABN_Amro_0012|ABN_Amro_0016|ABN_Amro_0088_intro|ABN_Amro_0078,0,,both_fail,195.305,47.921,195.305,18045,3619,49003,15398
ESRS,ABN Amro__ABN_Amro_0021__Does ABN Amro state that its updated Standard with Client Requirements uses terminology harmonised with the CSRD and the ESRS?,,ABN Amro,ABN Amro,ABN Amro,Does ABN Amro state that its updated Standard with Client Requirements uses terminology harmonised with the CSRD and the ESRS?,ABN_Amro_0021,ABN_Amro_0021,ABN_Amro_0021|ABN_Amro_0022|ABN_Amro_0020|ABN_Amro_0019,1,1.0,both_rank1,147.767,26.102,147.767,28759,1822,136037,10336
ESRS,"ABN Amro__ABN_Amro_0024__For ABN Amro, does the disclosure confirm that results from the Client Assessment on Sustainability (CASY) and the Climate and Environmental Risk Classification Tool (RCT) are embedded in corporate credit risk evaluation, including second-line review and ultimate credit decision-making?",,ABN Amro,ABN Amro,ABN Amro,"For ABN Amro, does the disclosure confirm that results from the Client Assessment on Sustainability (CASY) and the Climate and Environmental Risk Classification Tool (RCT) are embedded in corporate credit risk evaluation, including second-line review and ultimate credit decision-making?",ABN_Amro_0024,ABN_Amro_0023,ABN_Amro_0024|ABN_Amro_0023|ABN_Amro_0047|ABN_Amro_0046|ABN_Amro_0043,0,1.0,mrr_rank1_only,147.597,63.145,147.597,42701,4036,104063,10082
ESRS,"ABN Amro__ABN_Amro_0025__For client-level risk mitigation, does ABN Amro disclose that its high-intensity engagement track is subject to quarterly review by the Engagement Committee, evidencing periodic internal oversight?",,ABN Amro,ABN Amro,ABN Amro,"For client-level risk mitigation, does ABN Amro disclose that its high-intensity engagement track is subject to quarterly review by the Engagement Committee, evidencing periodic internal oversight?",ABN_Amro_0025,ABN_Amro_0025,ABN_Amro_0025|ABN_Amro_0024|ABN_Amro_0026|ABN_Amro_0019|ABN_Amro_0018,1,1.0,both_rank1,84.092,29.807,84.092,28636,2085,90077,4766
ESRS,ABN Amro__ABN_Amro_0028__Has ABN Amro clearly specified that the Climate & Environmental Risks (CER) materiality assessment covers the entirety of its balance sheet?,,ABN Amro,ABN Amro,ABN Amro,Has ABN Amro clearly specified that the Climate & Environmental Risks (CER) materiality assessment covers the entirety of its balance sheet?,ABN_Amro_0028,ABN_Amro_0026,ABN_Amro_0027|ABN_Amro_0026|ABN_Amro_0003|ABN_Amro_0002|ABN_Amro_0008,0,,both_fail,96.881,80.329,96.881,52614,5515,71255,6781
ESRS,"ABN Amro__ABN_Amro_0029__Within its 2024 risk appetite framework, has ABN Amro established explicit caps or trigger points to limit exposure to mortgage collateral situated in areas facing elevated physical climate risk?",,ABN Amro,ABN Amro,ABN Amro,"Within its 2024 risk appetite framework, has ABN Amro established explicit caps or trigger points to limit exposure to mortgage collateral situated in areas facing elevated physical climate risk?",ABN_Amro_0029,ABN_Amro_0029,ABN_Amro_0029|ABN_Amro_0028|ABN_Amro_0037|ABN_Amro_0003|ABN_Amro_0002,1,1.0,both_rank1,110.322,68.226,110.322,49274,4985,82640,8033
ESRS,"ABN Amro__ABN_Amro_0031__For ABN Amro’s ESRS materiality determination of climate and environmental drivers on market risk in the trading book, does the disclosure set out the assessment method used to gauge potential profit-and-loss effects and the specific rationale supporting its conclusion that this risk is not material?",,ABN Amro,ABN Amro,ABN Amro,"For ABN Amro’s ESRS materiality determination of climate and environmental drivers on market risk in the trading book, does the disclosure set out the assessment method used to gauge potential profit-and-loss effects and the specific rationale supporting its conclusion that this risk is not material?",ABN_Amro_0031,ABN_Amro_0031,ABN_Amro_0031|ABN_Amro_0030|ABN_Amro_0032|ABN_Amro_0033|ABN_Amro_0003,1,1.0,both_rank1,110.194,60.449,110.194,45327,4449,92750,7922
ESRS,"ABN Amro__ABN_Amro_0033__Within ABN Amro’s climate and environmental risk materiality review for liquidity risk, what specific short- and medium-term horizons are set for the quantitative assessment?",,ABN Amro,ABN Amro,ABN Amro,"Within ABN Amro’s climate and environmental risk materiality review for liquidity risk, what specific short- and medium-term horizons are set for the quantitative assessment?",ABN_Amro_0033,ABN_Amro_0033,ABN_Amro_0033|ABN_Amro_0032|ABN_Amro_0031|ABN_Amro_0004|ABN_Amro_0030,1,1.0,both_rank1,96.009,55.184,96.009,45209,4236,92430,7470
ESRS,"ABN Amro__ABN_Amro_0034__In its 2024 climate and environmental business-risk assessment, does ABN Amro state that transition risk is not material in the near term but could become material over the medium to long run due to prospective changes to its commercial or risk policies to meet climate-related requirements?",,ABN Amro,ABN Amro,ABN Amro,"In its 2024 climate and environmental business-risk assessment, does ABN Amro state that transition risk is not material in the near term but could become material over the medium to long run due to prospective changes to its commercial or risk policies to meet climate-related requirements?",ABN_Amro_0034,ABN_Amro_0034,ABN_Amro_0034|ABN_Amro_0035|ABN_Amro_0036|ABN_Amro_0030|ABN_Amro_0003,1,1.0,both_rank1,104.734,82.636,104.734,61856,6213,94456,8303
