dataset,query_id,company,doc_name,bank_name,query,ground_truth_chunk_id,result_file,method_raw,model_raw,mode_raw,method,model,variant,top_m,correct_at_1,hit_at_5,ground_truth_rank_top5,reciprocal_rank_at_5,top1_chunk_id,top5_chunk_ids,n_top1_returned,n_top5_returned,no_top1_returned,no_top5_returned,fewer_than_5_returned,no_result_at_all,retrieved_doc_top1_from_result,latency_seconds,top1_latency_seconds,top5_latency_seconds,input_tokens,output_tokens,total_tokens,top1_input_tokens,top1_output_tokens,top1_total_tokens,top5_input_tokens,top5_output_tokens,top5_total_tokens,run_success,error,question_type,question_reasoning,financebench_id,toc,document_pages,document_raw_pdf_tokens,structure_input_tokens,structure_output_tokens,structure_total_tokens,structure_latency_seconds,retrieved_doc_top1,document_correct_at_1
ESRS,"ABN Amro__ABN_Amro_0005__For ESRS climate scenario disclosures, has ABN Amro confirmed that the assumptions underpinning its IFRS financial statements are consistent with the climate pathway used in its scenario assessment?",ABN Amro,ABN Amro,ABN Amro,"For ESRS climate scenario disclosures, has ABN Amro confirmed that the assumptions underpinning its IFRS financial statements are consistent with the climate pathway used in its scenario assessment?",ABN_Amro_0005,bm25_query_results.jsonl,bm25,,standard,BM25,–,standard,,0,1,3.0,0.3333333333333333,ABN_Amro_0029,ABN_Amro_0029|ABN_Amro_0012|ABN_Amro_0005|ABN_Amro_0070|DNB_0083_intro,1,5,0,0,0,0,ABN Amro,0.012953,0.012953,0.012953,0,0,0,0,0,0,0,0,0,1,,,,,Present,92,70776,709130,300339,1009469,1098.656,ABN Amro,1
ESRS,"ABN Amro__ABN_Amro_0008__Within ABN AMRO’s risk taxonomy, is sustainability risk explicitly designated as a material risk category?",ABN Amro,ABN Amro,ABN Amro,"Within ABN AMRO’s risk taxonomy, is sustainability risk explicitly designated as a material risk category?",ABN_Amro_0008,bm25_query_results.jsonl,bm25,,standard,BM25,–,standard,,0,1,4.0,0.25,ABN_Amro_0034,ABN_Amro_0034|ABN_Amro_0012|ABN_Amro_0113|ABN_Amro_0008|ABN_Amro_0054,1,5,0,0,0,0,ABN Amro,0.009943,0.009943,0.009943,0,0,0,0,0,0,0,0,0,1,,,,,Present,92,70776,709130,300339,1009469,1098.656,ABN Amro,1
ESRS,"ABN Amro__ABN_Amro_0012__Within its disclosure on current and anticipated effects, does ABN AMRO explicitly report the outcome of a resilience assessment (via a bank-wide ICAAP stress test) demonstrating that projected climate and environmental risk impacts over the assessed five-year horizon remain within its loss-absorbing capacity and that its business model is resilient to the adverse scenario?",ABN Amro,ABN Amro,ABN Amro,"Within its disclosure on current and anticipated effects, does ABN AMRO explicitly report the outcome of a resilience assessment (via a bank-wide ICAAP stress test) demonstrating that projected climate and environmental risk impacts over the assessed five-year horizon remain within its loss-absorbing capacity and that its business model is resilient to the adverse scenario?",ABN_Amro_0012,bm25_query_results.jsonl,bm25,,standard,BM25,–,standard,,1,1,1.0,1.0,ABN_Amro_0012,ABN_Amro_0012|KBC_Group_0015|Societe_Generale_0008|Raiffeisen_Bank_International_0466|ABN_Amro_0035,1,5,0,0,0,0,ABN Amro,0.025799,0.025799,0.025799,0,0,0,0,0,0,0,0,0,1,,,,,Present,92,70776,709130,300339,1009469,1098.656,ABN Amro,1
ESRS,"ABN Amro__ABN_Amro_0014__Within its description of environmental impacts, does ABN AMRO specify that the principal adverse effects occur through client-related financing and investment activities rather than from its own direct operations?",ABN Amro,ABN Amro,ABN Amro,"Within its description of environmental impacts, does ABN AMRO specify that the principal adverse effects occur through client-related financing and investment activities rather than from its own direct operations?",ABN_Amro_0014,bm25_query_results.jsonl,bm25,,standard,BM25,–,standard,,0,1,2.0,0.5,ABN_Amro_0010,ABN_Amro_0010|ABN_Amro_0014|ABN_Amro_0012|ABN_Amro_0015|KfW_0025,1,5,0,0,0,0,ABN Amro,0.014844,0.014844,0.014844,0,0,0,0,0,0,0,0,0,1,,,,,Present,92,70776,709130,300339,1009469,1098.656,ABN Amro,1
ESRS,"ABN Amro__ABN_Amro_0015__For ABN AMRO, does the stated scope of its social impact assessment explicitly cover impacts stemming from its own operations as well as those associated with its clients’ activities?",ABN Amro,ABN Amro,ABN Amro,"For ABN AMRO, does the stated scope of its social impact assessment explicitly cover impacts stemming from its own operations as well as those associated with its clients’ activities?",ABN_Amro_0015,bm25_query_results.jsonl,bm25,,standard,BM25,–,standard,,0,1,3.0,0.3333333333333333,ABN_Amro_0012,ABN_Amro_0012|ABN_Amro_0080_intro|ABN_Amro_0015|ABN_Amro_0034|ABN_Amro_0024,1,5,0,0,0,0,ABN Amro,0.012385,0.012385,0.012385,0,0,0,0,0,0,0,0,0,1,,,,,Present,92,70776,709130,300339,1009469,1098.656,ABN Amro,1
ESRS,ABN Amro__ABN_Amro_0021__Does ABN Amro state that its updated Standard with Client Requirements uses terminology harmonised with the CSRD and the ESRS?,ABN Amro,ABN Amro,ABN Amro,Does ABN Amro state that its updated Standard with Client Requirements uses terminology harmonised with the CSRD and the ESRS?,ABN_Amro_0021,bm25_query_results.jsonl,bm25,,standard,BM25,–,standard,,0,1,2.0,0.5,ABN_Amro_0062,ABN_Amro_0062|ABN_Amro_0021|ABN_Amro_0020|ABN_Amro_0011|ABN_Amro_0113,1,5,0,0,0,0,ABN Amro,0.008786,0.008786,0.008786,0,0,0,0,0,0,0,0,0,1,,,,,Present,92,70776,709130,300339,1009469,1098.656,ABN Amro,1
ESRS,"ABN Amro__ABN_Amro_0024__For ABN Amro, does the disclosure confirm that results from the Client Assessment on Sustainability (CASY) and the Climate and Environmental Risk Classification Tool (RCT) are embedded in corporate credit risk evaluation, including second-line review and ultimate credit decision-making?",ABN Amro,ABN Amro,ABN Amro,"For ABN Amro, does the disclosure confirm that results from the Client Assessment on Sustainability (CASY) and the Climate and Environmental Risk Classification Tool (RCT) are embedded in corporate credit risk evaluation, including second-line review and ultimate credit decision-making?",ABN_Amro_0024,bm25_query_results.jsonl,bm25,,standard,BM25,–,standard,,1,1,1.0,1.0,ABN_Amro_0024,ABN_Amro_0024|ABN_Amro_0046|ABN_Amro_0047|ING_0035|ABN_Amro_0018,1,5,0,0,0,0,ABN Amro,0.02032,0.02032,0.02032,0,0,0,0,0,0,0,0,0,1,,,,,Present,92,70776,709130,300339,1009469,1098.656,ABN Amro,1
ESRS,"ABN Amro__ABN_Amro_0025__For client-level risk mitigation, does ABN Amro disclose that its high-intensity engagement track is subject to quarterly review by the Engagement Committee, evidencing periodic internal oversight?",ABN Amro,ABN Amro,ABN Amro,"For client-level risk mitigation, does ABN Amro disclose that its high-intensity engagement track is subject to quarterly review by the Engagement Committee, evidencing periodic internal oversight?",ABN_Amro_0025,bm25_query_results.jsonl,bm25,,standard,BM25,–,standard,,0,1,2.0,0.5,ABN_Amro_0019,ABN_Amro_0019|ABN_Amro_0025|ABN_Amro_0085|ABN_Amro_0057|ABN_Amro_0052,1,5,0,0,0,0,ABN Amro,0.014076,0.014076,0.014076,0,0,0,0,0,0,0,0,0,1,,,,,Present,92,70776,709130,300339,1009469,1098.656,ABN Amro,1
ESRS,ABN Amro__ABN_Amro_0028__Has ABN Amro clearly specified that the Climate & Environmental Risks (CER) materiality assessment covers the entirety of its balance sheet?,ABN Amro,ABN Amro,ABN Amro,Has ABN Amro clearly specified that the Climate & Environmental Risks (CER) materiality assessment covers the entirety of its balance sheet?,ABN_Amro_0028,bm25_query_results.jsonl,bm25,,standard,BM25,–,standard,,0,1,2.0,0.5,ABN_Amro_0029,ABN_Amro_0029|ABN_Amro_0028|ABN_Amro_0034|ABN_Amro_0070|ABN_Amro_0010,1,5,0,0,0,0,ABN Amro,0.009814,0.009814,0.009814,0,0,0,0,0,0,0,0,0,1,,,,,Present,92,70776,709130,300339,1009469,1098.656,ABN Amro,1
ESRS,"ABN Amro__ABN_Amro_0029__Within its 2024 risk appetite framework, has ABN Amro established explicit caps or trigger points to limit exposure to mortgage collateral situated in areas facing elevated physical climate risk?",ABN Amro,ABN Amro,ABN Amro,"Within its 2024 risk appetite framework, has ABN Amro established explicit caps or trigger points to limit exposure to mortgage collateral situated in areas facing elevated physical climate risk?",ABN_Amro_0029,bm25_query_results.jsonl,bm25,,standard,BM25,–,standard,,1,1,1.0,1.0,ABN_Amro_0029,ABN_Amro_0029|ABN_Amro_0034|ABN_Amro_0010|Belfius_0049|ABN_Amro_0012,1,5,0,0,0,0,ABN Amro,0.024149,0.024149,0.024149,0,0,0,0,0,0,0,0,0,1,,,,,Present,92,70776,709130,300339,1009469,1098.656,ABN Amro,1
