answer_id,dataset,configuration_id,method,retrieval_model,variant,top_m,query_id,financebench_id,doc_name,retrieval_setting,top_k,ground_truth_chunk_id,retrieved_chunk_ids,correct_chunk_retrieved,judge_category
FinanceBench::bm25::financebench_id_03029::top_1,FinanceBench,bm25,bm25,,standard,,financebench_id_03029,financebench_id_03029,3M_2018_10K,top_1,1,3M_2018_10K_0031,3M_2023Q2_10Q_0028,no,no_answer
FinanceBench::bm25::financebench_id_03029::top_5,FinanceBench,bm25,bm25,,standard,,financebench_id_03029,financebench_id_03029,3M_2018_10K,top_5,5,3M_2018_10K_0031,3M_2023Q2_10Q_0028|3M_2022_10K_0017|3M_2018_10K_0045|3M_2018_10K_0042|3M_2018_10K_0020,no,correct
FinanceBench::bm25::financebench_id_04672::top_1,FinanceBench,bm25,bm25,,standard,,financebench_id_04672,financebench_id_04672,3M_2018_10K,top_1,1,3M_2018_10K_0029,PEPSICO_2023Q1_EARNINGS_0003,no,no_answer
FinanceBench::bm25::financebench_id_04672::top_5,FinanceBench,bm25,bm25,,standard,,financebench_id_04672,financebench_id_04672,3M_2018_10K,top_5,5,3M_2018_10K_0029,PEPSICO_2023Q1_EARNINGS_0003|3M_2022_10K_0043|3M_2018_10K_0046|3M_2022_10K_0042|3M_2023Q2_10Q_0028,no,no_answer
FinanceBench::bm25::financebench_id_01226::top_1,FinanceBench,bm25,bm25,,standard,,financebench_id_01226,financebench_id_01226,3M_2022_10K,top_1,1,3M_2022_10K_0012,3M_2018_10K_0016,no,no_answer
FinanceBench::bm25::financebench_id_01865::top_1,FinanceBench,bm25,bm25,,standard,,financebench_id_01865,financebench_id_01865,3M_2022_10K,top_1,1,3M_2022_10K_0011,3M_2022_10K_0013,no,correct
FinanceBench::bm25::financebench_id_01865::top_5,FinanceBench,bm25,bm25,,standard,,financebench_id_01865,financebench_id_01865,3M_2022_10K,top_5,5,3M_2022_10K_0011,3M_2022_10K_0013|3M_2022_10K_0011|3M_2023Q2_10Q_0009|3M_2023Q2_10Q_0025|3M_2023Q2_10Q_0013,yes,correct
FinanceBench::bm25::financebench_id_00807::top_1,FinanceBench,bm25,bm25,,standard,,financebench_id_00807,financebench_id_00807,3M_2023Q2_10Q,top_1,1,3M_2023Q2_10Q_0006,CORNING_2021_10K_0101,no,no_answer
FinanceBench::bm25::financebench_id_00807::top_5,FinanceBench,bm25,bm25,,standard,,financebench_id_00807,financebench_id_00807,3M_2023Q2_10Q,top_5,5,3M_2023Q2_10Q_0006,CORNING_2021_10K_0101|3M_2023Q2_10Q_0028|JPMORGAN_2023Q2_10Q_0079|BESTBUY_2017_10K_0016|JPMORGAN_2022_10K_0129,no,no_answer
FinanceBench::bm25::financebench_id_00941::top_1,FinanceBench,bm25,bm25,,standard,,financebench_id_00941,financebench_id_00941,3M_2023Q2_10Q,top_1,1,3M_2023Q2_10Q_0000,PAYPAL_2022_10K_0000,no,no_answer
FinanceBench::bm25::financebench_id_00941::top_5,FinanceBench,bm25,bm25,,standard,,financebench_id_00941,financebench_id_00941,3M_2023Q2_10Q,top_5,5,3M_2023Q2_10Q_0000,PAYPAL_2022_10K_0000|NIKE_2023_10K_0000|MICROSOFT_2023_10K_0000|3M_2023Q2_10Q_0001|AES_2022_10K_0185,no,correct
FinanceBench::bm25::financebench_id_01858::top_1,FinanceBench,bm25,bm25,,standard,,financebench_id_01858,financebench_id_01858,3M_2023Q2_10Q,top_1,1,3M_2023Q2_10Q_0025,AMERICANEXPRESS_2022_10K_0019,no,no_answer
FinanceBench::bm25::financebench_id_01858::top_5,FinanceBench,bm25,bm25,,standard,,financebench_id_01858,financebench_id_01858,3M_2023Q2_10Q,top_5,5,3M_2023Q2_10Q_0025,AMERICANEXPRESS_2022_10K_0019|3M_2018_10K_0065|JPMORGAN_2022Q2_10Q_0082|3M_2022_10K_0017|3M_2018_10K_0020,no,correct
FinanceBench::bm25::financebench_id_07507::top_1,FinanceBench,bm25,bm25,,standard,,financebench_id_07507,financebench_id_07507,ADOBE_2016_10K,top_1,1,ADOBE_2016_10K_0014_intro,CORNING_2022_10K_0148,no,no_answer
FinanceBench::bm25::financebench_id_07507::top_5,FinanceBench,bm25,bm25,,standard,,financebench_id_07507,financebench_id_07507,ADOBE_2016_10K,top_5,5,ADOBE_2016_10K_0014_intro,CORNING_2022_10K_0148|AMERICANEXPRESS_2022_10K_0049|AMERICANEXPRESS_2022_10K_0016|MICROSOFT_2016_10K_0015|AMCOR_2020_10K_0040,no,no_answer
FinanceBench::bm25::financebench_id_00438::top_1,FinanceBench,bm25,bm25,,standard,,financebench_id_00438,financebench_id_00438,ADOBE_2022_10K,top_1,1,ADOBE_2022_10K_0013,PEPSICO_2021_10K_0083,no,no_answer
FinanceBench::bm25::financebench_id_00438::top_5,FinanceBench,bm25,bm25,,standard,,financebench_id_00438,financebench_id_00438,ADOBE_2022_10K,top_5,5,ADOBE_2022_10K_0013,PEPSICO_2021_10K_0083|AES_2022_10K_0164|CVSHEALTH_2022_10K_0096|PEPSICO_2022_10K_0077_intro|MICROSOFT_2023_10K_0012,no,no_answer
FinanceBench::bm25::financebench_id_00591::top_1,FinanceBench,bm25,bm25,,standard,,financebench_id_00591,financebench_id_00591,ADOBE_2022_10K,top_1,1,ADOBE_2022_10K_0013,ADOBE_2016_10K_0002,no,no_answer
FinanceBench::bm25::financebench_id_00591::top_5,FinanceBench,bm25,bm25,,standard,,financebench_id_00591,financebench_id_00591,ADOBE_2022_10K,top_5,5,ADOBE_2022_10K_0013,ADOBE_2016_10K_0002|ADOBE_2022_10K_0002|BLOCK_2020_10K_0117|AMERICANWATERWORKS_2020_10K_0050|ADOBE_2022_10K_0001,no,no_answer
FinanceBench::bm25::financebench_id_01319::top_1,FinanceBench,bm25,bm25,,standard,,financebench_id_01319,financebench_id_01319,AES_2022_10K,top_1,1,AES_2022_10K_0171,CORNING_2022_10K_0078,no,no_answer
FinanceBench::bm25::financebench_id_01319::top_5,FinanceBench,bm25,bm25,,standard,,financebench_id_01319,financebench_id_01319,AES_2022_10K,top_5,5,AES_2022_10K_0171,CORNING_2022_10K_0078|PFIZER_2021_10K_0087|AMCOR_2020_10K_0103|MICROSOFT_2016_10K_0028|GENERALMILLS_2020_10K_0046,no,no_answer
FinanceBench::bm25::financebench_id_08135::top_1,FinanceBench,bm25,bm25,,standard,,financebench_id_08135,financebench_id_08135,AMAZON_2017_10K,top_1,1,AMAZON_2017_10K_0013,PEPSICO_2022_10K_0110,no,no_answer
FinanceBench::bm25::financebench_id_08135::top_5,FinanceBench,bm25,bm25,,standard,,financebench_id_08135,financebench_id_08135,AMAZON_2017_10K,top_5,5,AMAZON_2017_10K_0013,PEPSICO_2022_10K_0110|PEPSICO_2022_10K_0359|PEPSICO_2022_10K_0307|COCACOLA_2021_10K_0055|JPMORGAN_2021Q1_10Q_0034,no,no_answer
