dataset,result_file,method,model,variant,top_m,question_reasoning,n_queries,accuracy_at_1,hit_at_5,mrr_at_5,document_accuracy_at_1,avg_latency_seconds,avg_top1_latency_seconds,avg_top5_latency_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_top1_input_tokens,avg_top1_output_tokens,avg_top1_total_tokens,avg_top5_input_tokens,avg_top5_output_tokens,avg_top5_total_tokens,successful_rows,accuracy_at_1_pct,hit_at_5_pct,mrr_at_5_pct,document_accuracy_at_1_pct
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,Information extraction,29,0.10344827586206896,0.2413793103448276,0.15517241379310345,0.3793103448275862,0.028190103448275862,0.028190103448275862,0.028190103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,10.344827586206897,24.137931034482758,15.517241379310345,37.93103448275862
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,Information extraction OR Logical reasoning OR,1,0.0,0.0,0.0,1.0,0.009046,0.009046,0.009046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,100.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,Logical reasoning (based on numerical reasoning),2,0.0,0.0,0.0,0.0,0.0176155,0.0176155,0.0176155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,Logical reasoning (based on numerical reasoning) OR Logical reasoning,5,0.0,0.0,0.0,0.0,0.036503600000000004,0.036503600000000004,0.036503600000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,Logical reasoning (based on numerical reasoning) OR Numerical reasoning OR Logical reasoning,4,0.25,0.25,0.25,0.25,0.03239325,0.03239325,0.03239325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,25.0,25.0,25.0,25.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,Numerical reasoning,20,0.0,0.1,0.0375,0.35,0.0423306,0.0423306,0.0423306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,10.0,3.75,35.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,Numerical reasoning OR Logical reasoning,3,0.0,0.0,0.0,0.3333333333333333,0.03707766666666667,0.03707766666666667,0.03707766666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,33.33333333333333
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,Numerical reasoning OR information extraction,4,0.0,0.0,0.0,0.0,0.031801499999999996,0.031801499999999996,0.031801499999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0
FinanceBench,bm25_query_results.jsonl,BM25,–,standard,,,43,0.2558139534883721,0.3953488372093023,0.3062015503875969,0.4883720930232558,0.020725046511627907,0.020725046511627907,0.020725046511627907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,25.581395348837212,39.53488372093023,30.620155038759687,48.837209302325576
FinanceBench,dense_harrier_oss_v1_0_6b_query_results.jsonl,Dense,Harrier,standard,,Information extraction,29,0.2413793103448276,0.5172413793103449,0.34597701149425286,0.6551724137931034,0.00203448275862069,0.00203448275862069,0.00203448275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,24.137931034482758,51.724137931034484,34.59770114942528,65.51724137931035
FinanceBench,dense_harrier_oss_v1_0_6b_query_results.jsonl,Dense,Harrier,standard,,Information extraction OR Logical reasoning OR,1,0.0,0.0,0.0,0.0,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
FinanceBench,dense_harrier_oss_v1_0_6b_query_results.jsonl,Dense,Harrier,standard,,Logical reasoning (based on numerical reasoning),2,0.0,1.0,0.3333333333333333,0.5,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,100.0,33.33333333333333,50.0
FinanceBench,dense_harrier_oss_v1_0_6b_query_results.jsonl,Dense,Harrier,standard,,Logical reasoning (based on numerical reasoning) OR Logical reasoning,5,0.2,0.4,0.25,0.4,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,20.0,40.0,25.0,40.0
FinanceBench,dense_harrier_oss_v1_0_6b_query_results.jsonl,Dense,Harrier,standard,,Logical reasoning (based on numerical reasoning) OR Numerical reasoning OR Logical reasoning,4,0.25,0.5,0.3125,0.5,0.0022500000000000003,0.0022500000000000003,0.0022500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,25.0,50.0,31.25,50.0
FinanceBench,dense_harrier_oss_v1_0_6b_query_results.jsonl,Dense,Harrier,standard,,Numerical reasoning,20,0.25,0.45,0.3058333333333333,0.8,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,25.0,45.0,30.58333333333333,80.0
FinanceBench,dense_harrier_oss_v1_0_6b_query_results.jsonl,Dense,Harrier,standard,,Numerical reasoning OR Logical reasoning,3,0.0,0.3333333333333333,0.08333333333333333,0.0,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,33.33333333333333,8.333333333333332,0.0
FinanceBench,dense_harrier_oss_v1_0_6b_query_results.jsonl,Dense,Harrier,standard,,Numerical reasoning OR information extraction,4,0.0,0.0,0.0,0.75,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,75.0
FinanceBench,dense_harrier_oss_v1_0_6b_query_results.jsonl,Dense,Harrier,standard,,,43,0.23255813953488372,0.5813953488372093,0.351937984496124,0.6511627906976745,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,23.25581395348837,58.139534883720934,35.1937984496124,65.11627906976744
FinanceBench,dense_linq_embed_mistral_query_results.jsonl,Dense,Linq-Embed-Mistral,standard,,Information extraction,29,0.2413793103448276,0.5172413793103449,0.34022988505747126,0.6551724137931034,0.0075172413793103444,0.0075172413793103444,0.0075172413793103444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,24.137931034482758,51.724137931034484,34.02298850574713,65.51724137931035
FinanceBench,dense_linq_embed_mistral_query_results.jsonl,Dense,Linq-Embed-Mistral,standard,,Information extraction OR Logical reasoning OR,1,0.0,1.0,0.5,0.0,0.007,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,100.0,50.0,0.0
FinanceBench,dense_linq_embed_mistral_query_results.jsonl,Dense,Linq-Embed-Mistral,standard,,Logical reasoning (based on numerical reasoning),2,0.5,0.5,0.5,0.5,0.007,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,50.0,50.0,50.0,50.0
FinanceBench,dense_linq_embed_mistral_query_results.jsonl,Dense,Linq-Embed-Mistral,standard,,Logical reasoning (based on numerical reasoning) OR Logical reasoning,5,0.2,0.2,0.2,0.4,0.0073999999999999995,0.0073999999999999995,0.0073999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,20.0,20.0,20.0,40.0
FinanceBench,dense_linq_embed_mistral_query_results.jsonl,Dense,Linq-Embed-Mistral,standard,,Logical reasoning (based on numerical reasoning) OR Numerical reasoning OR Logical reasoning,4,0.25,0.25,0.25,0.5,0.007,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,25.0,25.0,25.0,50.0
FinanceBench,dense_linq_embed_mistral_query_results.jsonl,Dense,Linq-Embed-Mistral,standard,,Numerical reasoning,20,0.2,0.5,0.30416666666666664,0.45,0.0072499999999999995,0.0072499999999999995,0.0072499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,20.0,50.0,30.416666666666664,45.0
FinanceBench,dense_linq_embed_mistral_query_results.jsonl,Dense,Linq-Embed-Mistral,standard,,Numerical reasoning OR Logical reasoning,3,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.007,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,33.33333333333333,11.11111111111111,33.33333333333333
FinanceBench,dense_linq_embed_mistral_query_results.jsonl,Dense,Linq-Embed-Mistral,standard,,Numerical reasoning OR information extraction,4,0.0,0.0,0.0,0.5,0.007,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,50.0
FinanceBench,dense_linq_embed_mistral_query_results.jsonl,Dense,Linq-Embed-Mistral,standard,,,43,0.13953488372093023,0.37209302325581395,0.21589147286821705,0.6046511627906976,0.0071162790697674415,0.0071162790697674415,0.0071162790697674415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,13.953488372093023,37.2093023255814,21.589147286821706,60.46511627906976
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,Information extraction,29,0.2413793103448276,0.5517241379310345,0.3563218390804598,0.7586206896551724,0.0002413793103448276,0.0002413793103448276,0.0002413793103448276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,24.137931034482758,55.172413793103445,35.63218390804598,75.86206896551724
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,Information extraction OR Logical reasoning OR,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,100.0
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,Logical reasoning (based on numerical reasoning),2,0.5,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,50.0,100.0,66.66666666666666,100.0
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,Logical reasoning (based on numerical reasoning) OR Logical reasoning,5,0.0,0.2,0.1,0.6,0.0002,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,20.0,10.0,60.0
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,Logical reasoning (based on numerical reasoning) OR Numerical reasoning OR Logical reasoning,4,0.5,0.75,0.625,1.0,0.0005,0.0005,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,50.0,75.0,62.5,100.0
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,Numerical reasoning,20,0.25,0.5,0.3458333333333333,0.9,0.00035,0.00035,0.00035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,25.0,50.0,34.583333333333336,90.0
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,Numerical reasoning OR Logical reasoning,3,0.0,0.3333333333333333,0.06666666666666667,0.6666666666666666,0.0003333333333333333,0.0003333333333333333,0.0003333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,33.33333333333333,6.666666666666667,66.66666666666666
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,Numerical reasoning OR information extraction,4,0.0,0.25,0.08333333333333333,0.75,0.0005,0.0005,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,25.0,8.333333333333332,75.0
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,10.0,,43,0.2558139534883721,0.5813953488372093,0.3709302325581395,0.7906976744186046,0.0001627906976744186,0.0001627906976744186,0.0001627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,25.581395348837212,58.139534883720934,37.093023255813954,79.06976744186046
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,Information extraction,29,0.2413793103448276,0.4482758620689655,0.3218390804597701,0.7586206896551724,0.00020689655172413793,0.00020689655172413793,0.00020689655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,24.137931034482758,44.827586206896555,32.18390804597701,75.86206896551724
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,Information extraction OR Logical reasoning OR,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,100.0
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,Logical reasoning (based on numerical reasoning),2,0.5,1.0,0.6666666666666666,1.0,0.0005,0.0005,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,50.0,100.0,66.66666666666666,100.0
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,Logical reasoning (based on numerical reasoning) OR Logical reasoning,5,0.0,0.2,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,20.0,10.0,60.0
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,Logical reasoning (based on numerical reasoning) OR Numerical reasoning OR Logical reasoning,4,0.5,0.75,0.625,1.0,0.00025,0.00025,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,50.0,75.0,62.5,100.0
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,Numerical reasoning,20,0.25,0.45,0.31416666666666665,0.9,0.00025,0.00025,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,25.0,45.0,31.416666666666664,90.0
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,Numerical reasoning OR Logical reasoning,3,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,66.66666666666666
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,Numerical reasoning OR information extraction,4,0.0,0.5,0.13333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,50.0,13.333333333333334,75.0
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,,43,0.2558139534883721,0.5581395348837209,0.3767441860465116,0.7906976744186046,0.00011627906976744187,0.00011627906976744187,0.00011627906976744187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,25.581395348837212,55.81395348837209,37.67441860465116,79.06976744186046
