query_index,query,financebench_id,doc_name,ground_truth_chunk_id,embedding_latency_seconds
0,What is the FY2018 capital expenditure amount (in USD millions) for 3M? Give a response to the question by relying on the details shown in the cash flow statement.,financebench_id_03029,3M_2018_10K,3M_2018_10K_0031,0.018835701048374176
1,Assume that you are a public equities analyst. Answer the following question by primarily using information that is shown in the balance sheet: what is the year end FY2018 net PPNE for 3M? Answer in USD billions.,financebench_id_04672,3M_2018_10K,3M_2018_10K_0029,0.04043556842952967
2,"What drove operating margin change as of FY2022 for 3M? If operating margin is not a useful metric for a company like this, then please state that and explain why.",financebench_id_01226,3M_2022_10K,3M_2022_10K_0012,0.01717515755444765
3,"If we exclude the impact of M&A, which segment has dragged down 3M's overall growth in 2022?",financebench_id_01865,3M_2022_10K,3M_2022_10K_0011,0.01885031908750534
4,"Does 3M have a reasonably healthy liquidity profile based on its quick ratio for Q2 of FY2023? If the quick ratio is not relevant to measure liquidity, please state that and explain why.",financebench_id_00807,3M_2023Q2_10Q,3M_2023Q2_10Q_0006,0.01714301574975252
5,Which debt securities are registered to trade on a national securities exchange under 3M's name as of Q2 of 2023?,financebench_id_00941,3M_2023Q2_10Q,3M_2023Q2_10Q_0000,0.016920304857194424
6,Does 3M maintain a stable trend of dividend distribution?,financebench_id_01858,3M_2023Q2_10Q,3M_2023Q2_10Q_0025,0.16364603955298662
7,What is Adobe's year-over-year change in unadjusted operating income from FY2015 to FY2016 (in units of percents and round to one decimal place)? Give a solution to the question by using the income statement.,financebench_id_07507,ADOBE_2016_10K,ADOBE_2016_10K_0014_intro,0.01931289490312338
8,"Does Adobe have an improving operating margin profile as of FY2022? If operating margin is not a useful metric for a company like this, then state that and explain why.",financebench_id_00438,ADOBE_2022_10K,ADOBE_2022_10K_0013,0.018685132265090942
9,Does Adobe have an improving Free cashflow conversion as of FY2022?,financebench_id_00591,ADOBE_2022_10K,ADOBE_2022_10K_0013,0.018571043387055397
10,What is the quantity of restructuring costs directly outlined in AES Corporation's income statements for FY2022? If restructuring costs are not explicitly outlined then state 0.,financebench_id_01319,AES_2022_10K,AES_2022_10K_0171,0.016956894658505917
11,What is Amazon's year-over-year change in revenue from FY2016 to FY2017 (in units of percents and round to one decimal place)? Calculate what was asked by utilizing the line items clearly shown in the statement of income.,financebench_id_08135,AMAZON_2017_10K,AMAZON_2017_10K_0013,0.017008337192237377
12,"By drawing conclusions from the information stated only in the income statement, what is Amazon's FY2019 net income attributable to shareholders (in USD millions)?",financebench_id_08286,AMAZON_2019_10K,AMAZON_2019_10K_0016,0.017184562981128693
13,What is Amcor's year end FY2020 net AR (in USD millions)? Address the question by adopting the perspective of a financial analyst who can only use the details shown within the balance sheet.,financebench_id_03882,AMCOR_2020_10K,AMCOR_2020_10K_0017,0.01688289735466242
14,What was the key agenda of the AMCOR's 8k filing dated 1st July 2022?,financebench_id_01935,AMCOR_2022_8K_dated-2022-07-01,AMCOR_2022_8K_dated_2022_07_01_0001,0.016705479472875595
15,What is the nature & purpose of AMCOR's restructuring liability as oF Q2 of FY2023 close?,financebench_id_01936,AMCOR_2023Q2_10Q,AMCOR_2023Q2_10Q_0011,0.01663167867809534
